id,language,question,answer,topic
54,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
55,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
56,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
57,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
58,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
59,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
60,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
61,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
62,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
63,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
64,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
65,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
66,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
67,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
68,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
69,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
70,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
71,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
72,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
73,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
74,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
75,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
76,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
77,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
78,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
79,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
80,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
81,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
82,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
83,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
84,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
85,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
86,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
87,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
88,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
89,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
90,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
91,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
92,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
93,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
94,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
95,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
96,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
97,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
98,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
99,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
100,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
101,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
102,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
103,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
104,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
105,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
106,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
107,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
108,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
109,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
110,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
111,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
112,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
113,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
114,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
115,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
116,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
117,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
118,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
119,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
120,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
121,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
122,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
123,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
124,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
125,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
126,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
127,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
128,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
129,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
130,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
131,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
132,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
133,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
134,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
135,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
136,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
137,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
138,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
139,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
140,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
141,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
142,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
143,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
144,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
145,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
146,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
147,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
148,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
149,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
150,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
151,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
152,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
153,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
154,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
155,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
156,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
157,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
158,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
159,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
160,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
161,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
162,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
163,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
164,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
165,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
166,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
167,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
168,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
169,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
170,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
171,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
172,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
173,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
174,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
175,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
176,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
177,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
178,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
179,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
180,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
181,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
182,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
183,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
184,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
185,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
186,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
187,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
188,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
189,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
190,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
191,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
192,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
193,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
194,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
195,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
196,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
197,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
198,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
199,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
200,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
201,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
202,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
203,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
204,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
205,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
206,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
207,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
208,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
209,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
210,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
211,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
212,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
213,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
214,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
215,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
216,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
217,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
218,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
219,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
220,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
221,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
222,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
223,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
224,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
225,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
226,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
227,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
228,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
229,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
230,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
231,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
232,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
233,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
234,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
235,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
236,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
237,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
238,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
239,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
240,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
241,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
242,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
243,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
244,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
245,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
246,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
247,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
